title,numoverall,series,numinseries,director,writer,airdate,viewers
Pilot‡,1,1,1,Robert Mandel,Chris Carter,"September 10, 1993 (1993-09-10)",12.0[41]
Deep Throat‡,2,1,2,Daniel Sackheim,Chris Carter,"September 17, 1993 (1993-09-17)",11.1[42]
Squeeze,3,1,3,Harry Longstreet,Glen Morgan & James Wong,"September 24, 1993 (1993-09-24)",11.1[43]
Conduit,4,1,4,Daniel Sackheim,Alex Gansa & Howard Gordon,"October 1, 1993 (1993-10-01)",9.2[44]
The Jersey Devil,5,1,5,Joe Napolitano,Chris Carter,"October 8, 1993 (1993-10-08)",10.4[45]
Shadows,6,1,6,Michael Katleman,Glen Morgan & James Wong,"October 22, 1993 (1993-10-22)",8.8[46]
Ghost in the Machine,7,1,7,Jerrold Freedman,Alex Gansa & Howard Gordon,"October 29, 1993 (1993-10-29)",9.5[47]
Ice,8,1,8,David Nutter,Glen Morgan & James Wong,"November 5, 1993 (1993-11-05)",10.0[48]
Space,9,1,9,William Graham,Chris Carter,"November 12, 1993 (1993-11-12)",10.7[49]
Fallen Angel‡,10,1,10,Larry Shaw,Howard Gordon & Alex Gansa,"November 19, 1993 (1993-11-19)",8.8[50]
Eve,11,1,11,Fred Gerber,Kenneth Biller & Chris Brancato,"December 10, 1993 (1993-12-10)",10.4[51]
Fire,12,1,12,Larry Shaw,Chris Carter,"December 17, 1993 (1993-12-17)",11.1[52]
Beyond the Sea,13,1,13,David Nutter,Glen Morgan & James Wong,"January 7, 1994 (1994-01-07)",10.8[53]
Gender Bender,14,1,14,Rob Bowman,Larry Barber & Paul Barber,"January 21, 1994 (1994-01-21)",11.1[54]
Lazarus,15,1,15,David Nutter,Alex Gansa & Howard Gordon,"February 4, 1994 (1994-02-04)",12.1[55]
Young at Heart,16,1,16,Michael Lange,Scott Kaufer and Chris Carter,"February 11, 1994 (1994-02-11)",11.5[56]
E.B.E.‡,17,1,17,William Graham,Glen Morgan & James Wong,"February 18, 1994 (1994-02-18)",9.2[57]
Miracle Man,18,1,18,Michael Lange,Chris Carter & Howard Gordon,"March 18, 1994 (1994-03-18)",11.6[58]
Shapes,19,1,19,David Nutter,Marilyn Osborn,"April 1, 1994 (1994-04-01)",11.5[59]
Darkness Falls,20,1,20,Joe Napolitano,Chris Carter,"April 15, 1994 (1994-04-15)",12.5[60]
Tooms,21,1,21,David Nutter,Glen Morgan & James Wong,"April 22, 1994 (1994-04-22)",13.4[61]
Born Again,22,1,22,Jerrold Freedman,Howard Gordon & Alex Gansa,"April 29, 1994 (1994-04-29)",13.7[62]
Roland,23,1,23,David Nutter,Chris Ruppenthal,"May 6, 1994 (1994-05-06)",12.5[63]
The Erlenmeyer Flask‡,24,1,24,R. W. Goodwin,Chris Carter,"May 13, 1994 (1994-05-13)",14.0[64]
Little Green Men‡,25,2,1,David Nutter,Glen Morgan & James Wong,"September 16, 1994 (1994-09-16)",16.1[66]
The Host,26,2,2,Daniel Sackheim,Chris Carter,"September 23, 1994 (1994-09-23)",15.9[67]
Blood,27,2,3,David Nutter,Story by : Darin MorganTeleplay by : Glen Morgan & James Wong,"September 30, 1994 (1994-09-30)",14.8[68]
Sleepless,28,2,4,Rob Bowman,Howard Gordon,"October 7, 1994 (1994-10-07)",13.4[69]
Duane Barry‡,29,2,5,Chris Carter,Chris Carter,"October 14, 1994 (1994-10-14)",13.9[70]
Ascension‡,30,2,6,Michael Lange,Paul Brown,"October 21, 1994 (1994-10-21)",15.5[71]
3,31,2,7,David Nutter,Chris Ruppenthal and Glen Morgan & James Wong,"November 4, 1994 (1994-11-04)",15.0[72]
One Breath‡,32,2,8,R. W. Goodwin,Glen Morgan & James Wong,"November 11, 1994 (1994-11-11)",15.3[73]
Firewalker,33,2,9,David Nutter,Howard Gordon,"November 18, 1994 (1994-11-18)",15.2[74]
Red Museum‡,34,2,10,Win Phelps,Chris Carter,"December 9, 1994 (1994-12-09)",16.1[75]
Excelsis Dei,35,2,11,Stephen Surjik,Paul Brown,"December 16, 1994 (1994-12-16)",14.2[76]
Aubrey,36,2,12,Rob Bowman,Sara B. Charno,"January 6, 1995 (1995-01-06)",16.2[77]
Irresistible,37,2,13,David Nutter,Chris Carter,"January 13, 1995 (1995-01-13)",14.7[78]
Die Hand Die Verletzt,38,2,14,Kim Manners,Glen Morgan & James Wong,"January 27, 1995 (1995-01-27)",17.7[79]
Fresh Bones,39,2,15,Rob Bowman,Howard Gordon,"February 3, 1995 (1995-02-03)",17.8[80]
Colony‡,40,2,16,Nick Marck,Story by : David Duchovny & Chris CarterTeleplay by : Chris Carter,"February 10, 1995 (1995-02-10)",15.9[81]
End Game‡,41,2,17,Rob Bowman,Frank Spotnitz,"February 17, 1995 (1995-02-17)",17.5[82]
Fearful Symmetry,42,2,18,"James Whitmore, Jr.",Steve De Jarnatt,"February 24, 1995 (1995-02-24)",16.5[83]
Død Kalm,43,2,19,Rob Bowman,Story by : Howard GordonTeleplay by : Howard Gordon & Alex Gansa,"March 10, 1995 (1995-03-10)",17.1[84]
Humbug,44,2,20,Kim Manners,Darin Morgan,"March 31, 1995 (1995-03-31)",15.7[85]
The Calusari,45,2,21,Michael Vejar,Sara B. Charno,"April 14, 1995 (1995-04-14)",12.9[86]
F. Emasculata,46,2,22,Rob Bowman,Chris Carter & Howard Gordon,"April 28, 1995 (1995-04-28)",14.0[87]
Soft Light,47,2,23,James Contner,Vince Gilligan,"May 5, 1995 (1995-05-05)",12.9[88]
Our Town,48,2,24,Rob Bowman,Frank Spotnitz,"May 12, 1995 (1995-05-12)",14.5[89]
Anasazi‡,49,2,25,R. W. Goodwin,Story by : David Duchovny & Chris CarterTeleplay by : Chris Carter,"May 19, 1995 (1995-05-19)",16.6[90]
The Blessing Way‡,50,3,1,R. W. Goodwin,Chris Carter,"September 22, 1995 (1995-09-22)",19.94[92]
Paper Clip‡,51,3,2,Rob Bowman,Chris Carter,"September 29, 1995 (1995-09-29)",17.20[92]
D.P.O.,52,3,3,Kim Manners,Howard Gordon,"October 6, 1995 (1995-10-06)",15.57[92]
Clyde Bruckman's Final Repose,53,3,4,David Nutter,Darin Morgan,"October 13, 1995 (1995-10-13)",15.38[92]
The List,54,3,5,Chris Carter,Chris Carter,"October 20, 1995 (1995-10-20)",16.72[92]
2Shy,55,3,6,David Nutter,Jeffrey Vlaming,"November 3, 1995 (1995-11-03)",14.83[92]
The Walk,56,3,7,Rob Bowman,John Shiban,"November 10, 1995 (1995-11-10)",15.91[92]
Oubliette,57,3,8,Kim Manners,Charles Grant Craig,"November 17, 1995 (1995-11-17)",15.90[92]
Nisei‡,58,3,9,David Nutter,Chris Carter & Howard Gordon & Frank Spotnitz,"November 24, 1995 (1995-11-24)",16.36[92]
731‡,59,3,10,Rob Bowman,Frank Spotnitz,"December 1, 1995 (1995-12-01)",17.68[92]
Revelations,60,3,11,David Nutter,Kim Newton,"December 15, 1995 (1995-12-15)",15.25[92]
War of the Coprophages,61,3,12,Kim Manners,Darin Morgan,"January 5, 1996 (1996-01-05)",16.32[92]
Syzygy,62,3,13,Rob Bowman,Chris Carter,"January 26, 1996 (1996-01-26)",16.04[92]
Grotesque,63,3,14,Kim Manners,Howard Gordon,"February 2, 1996 (1996-02-02)",18.32[92]
Piper Maru‡,64,3,15,Rob Bowman,Frank Spotnitz & Chris Carter,"February 9, 1996 (1996-02-09)",16.44[92]
